log_database_size, element_size, setup_time (s), setup_bandwidth (B), amortized_access_time (s), amortized_access_bandwidth (B)
6,32,0.0430469,16800,0.0187036,6159
8,32,0.0110364,147984,0.012507,13131
10,32,0.0188839,230048,0.0159598,14919.5
12,32,0.0583165,1.04938e+06,0.0194009,17905.1
14,32,0.229516,4.71952e+06,0.022152,20854
16,32,0.806377,1.2584e+07,0.0264775,29399
18,32,3.2843,5.45271e+07,0.0286971,31074.7
20,32,13.4078,2.34882e+08,0.0316559,34622
