log_database_size, element_size, setup_time (s), setup_bandwidth (B), amortized_access_time (s), amortized_access_bandwidth (B)
6,32,0.0042127,12288,0.00328421,2591.88
8,32,0.013686,49152,0.01149,3768.44
10,32,0.0335716,196608,0.016307,4645.89
12,32,0.123564,786432,0.0255038,5874.35
14,32,0.464463,3.14573e+06,0.0444328,7557.82
16,32,1.85528,1.25829e+07,0.0963772,11237.2
18,32,7.36478,5.03316e+07,0.167138,13296.1
20,32,29.2998,2.01327e+08,0.239111,15580.6
