log_database_size, element_size, setup_time (s), setup_bandwidth (B), amortized_access_time (s), amortized_access_bandwidth (B)
6,32,0.00423163,12288,0.00948045,2366.31
8,32,0.0133616,49152,0.0144762,3522.62
10,32,0.0340709,196608,0.0168857,3920.11
12,32,0.117051,786432,0.0253398,4370.04
14,32,0.470862,3.14573e+06,0.0512611,4961.18
16,32,1.86598,1.25829e+07,0.107192,7484.54
18,32,7.49458,5.03316e+07,0.152318,7879.98
20,32,29.5068,2.01327e+08,0.235672,8195.8
